timestamp,time_bucket_5min,link_id,road_name,road_category,speed_band,min_speed,max_speed
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,27560,TUAS AVENUE 8,4,2,10,19,1.330757,103.650733,1.330763,103.650801
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,27645,TUAS AVENUE 8,4,5,40,49,1.329804,103.649899,1.3297,103.649799
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,27708,TUAS AVENUE 8,4,5,40,49,1.327255,103.647502,1.327083,103.647342
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,27797,TUAS AVENUE 8,4,2,10,19,1.326394,103.646631,1.326721,103.646941
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,27887,TUAS AVENUE 8,4,2,10,19,1.331101,103.651122,1.33107,103.65109
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,27892,TUAS AVENUE 8,4,3,20,29,1.33036,103.650361,1.330505,103.650497
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,27898,TUAS AVENUE 8,4,6,50,59,1.33064,103.650684,1.330476,103.650531
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,27911,TUAS AVENUE 8,4,5,40,49,1.331919,103.651887,1.331537,103.651526
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,27920,TUAS AVENUE 8,4,4,30,39,1.332389,103.652341,1.332288,103.652248
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,27921,TUAS AVENUE 8,4,4,30,39,1.332326,103.652208,1.332426,103.652301
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,27925,TUAS AVENUE 8,4,3,20,29,1.329833,103.649867,1.329921,103.649949
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,27970,TUAS AVENUE 8,4,2,10,19,1.331902,103.651813,1.331919,103.651887
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28001,TUAS AVENUE 8,4,4,30,39,1.332714,103.652634,1.332389,103.652341
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28050,TUAS AVENUE 8,4,3,20,29,1.326319,103.64663,1.325881,103.646215
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28184,TUAS AVENUE 8,4,1,0,9,1.328038,103.648242,1.328069,103.648207
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28185,TUAS AVENUE 8,4,1,0,9,1.32775,103.647911,1.32772,103.647942
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28194,TUAS AVENUE 8,4,1,0,9,1.326721,103.646941,1.32669,103.646972
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28224,TUAS AVENUE 8,4,1,0,9,1.329149,103.649286,1.329181,103.649253
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28258,TUAS AVENUE 8,4,2,10,19,1.330102,103.650178,1.33013,103.650146
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28259,TUAS AVENUE 8,4,2,10,19,1.330015,103.650099,1.330048,103.650068
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28261,TUAS AVENUE 8,4,1,0,9,1.329067,103.649207,1.329097,103.649173
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28262,TUAS AVENUE 8,4,2,10,19,1.329097,103.649173,1.329067,103.649207
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28263,TUAS AVENUE 8,4,1,0,9,1.32852,103.648694,1.328553,103.64866
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28264,TUAS AVENUE 8,4,1,0,9,1.328357,103.64854,1.328387,103.648506
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28279,TUAS AVENUE 8,4,5,40,49,1.329891,103.649981,1.329804,103.649899
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28286,TUAS AVENUE 8,4,2,10,19,1.332326,103.652208,1.332288,103.652248
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28326,TUAS AVENUE 8,4,2,10,19,1.330167,103.650241,1.330198,103.650208
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28327,TUAS AVENUE 8,4,2,10,19,1.328387,103.648506,1.328357,103.64854
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28383,TUAS AVENUE 8,4,1,0,9,1.331537,103.651526,1.331566,103.651496
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28384,TUAS AVENUE 8,4,1,0,9,1.331566,103.651496,1.331537,103.651526
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28385,TUAS AVENUE 8,4,1,0,9,1.330048,103.650068,1.330015,103.650099
